City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Berlevag,70.8578,29.0864,21.2,73,20,8.05,NO,1613017405
Santa vitoria do palmar,-33.5189,-53.3681,69.31,86,64,9.6,BR,1613017189
Tapes,-30.6733,-51.3958,72.95,84,80,14.0,BR,1613017405
Hayden,47.766,-116.7866,26.01,63,75,4.61,US,1613017405
Atlantic city,39.3643,-74.4229,34.0,69,90,3.44,US,1613017224
Myskhako,44.6714,37.7433,50.0,81,100,13.42,RU,1613017405
Verkh-usugli,52.7,115.1667,17.22,95,100,9.37,RU,1613017405
San quintin,30.4833,-115.95,55.83,80,1,11.18,MX,1613017406
Rudraprayag,30.2833,78.9833,66.61,23,0,2.3,IN,1613017406
Itarema,-2.9248,-39.9167,79.84,82,83,9.44,BR,1613017406
Waipawa,-41.4122,175.5153,66.2,55,4,26.46,NZ,1613017406
Vuktyl,63.8567,57.3094,-23.19,87,100,4.81,RU,1613017406
Malanje,-9.5402,16.341,64.04,96,100,5.37,AO,1613017406
Vilyuysk,63.7553,121.6247,-12.96,88,3,3.76,RU,1613017406
Astana,51.1801,71.446,-9.4,77,0,6.71,KZ,1613017361
Larsnes,62.2028,5.5773,24.01,54,0,18.41,NO,1613017406
Tirat karmel,32.7617,34.9719,56.34,77,0,2.06,IL,1613017406
Makurdi,7.7411,8.5121,76.77,21,23,6.44,NG,1613017406
Kusu,33.2831,131.1514,57.2,35,0,4.61,JP,1613017406
Kilis,36.7161,37.115,39.2,93,0,3.29,TR,1613017407
Kyra,49.5776,111.9753,21.65,93,100,16.51,RU,1613017407
Barra,-11.0894,-43.1417,74.07,78,38,2.82,BR,1613017407
Seoul,37.5683,126.9778,48.2,53,60,3.44,KR,1613017190
Kurilsk,45.2333,147.8833,22.46,92,99,14.0,RU,1613017407
Tiznit,29.5833,-9.5,53.69,82,0,0.94,MA,1613017407
Pandan,14.0453,124.1694,82.81,81,4,8.75,PH,1613017407
Obidos,-1.9175,-55.5181,74.89,90,100,2.73,BR,1613017226
Talcahuano,-36.7167,-73.1167,59.0,100,90,4.61,CL,1613017408
Churapcha,62.0025,132.4325,-0.44,91,100,6.69,RU,1613017408
Baghdad,33.3406,44.4009,48.2,93,0,1.14,IQ,1613017408
Berkakit,56.5807,124.7681,10.02,93,100,6.69,RU,1613017408
Kazerun,29.6195,51.6541,57.22,41,100,0.81,IR,1613017408
Norsup,-16.0667,167.3833,84.15,68,17,6.51,VU,1613017408
Bolhrad,45.6826,28.6149,41.0,93,40,4.61,UA,1613017408
Mehamn,71.0357,27.8492,21.2,73,20,8.05,NO,1613017408
Tarakan,3.3,117.6333,77.0,94,90,1.14,ID,1613017409
Sembakung,3.8167,117.25,77.0,94,90,1.14,ID,1613017409
Morant bay,17.8815,-76.4093,78.8,78,20,6.91,JM,1613017409
Carbonia,39.1672,8.5222,53.6,76,40,18.41,IT,1613017409
Blagoyevo,63.3667,47.9167,-14.24,89,19,3.71,RU,1613017409
Bilma,18.6853,12.9164,63.73,24,0,5.79,NE,1613017409
Kanina,-10.7341,25.4699,62.67,95,100,4.88,CD,1613017409
Palu,-0.8917,119.8707,89.94,56,90,3.29,ID,1613017366
Mount isa,-20.7333,139.5,96.8,36,40,9.22,AU,1613017409
La baule-escoublac,47.2922,-2.364,26.6,80,0,17.27,FR,1613017410
Mokhsogollokh,61.4681,128.9203,-5.3,90,96,4.0,RU,1613017410
Whitehorse,60.7161,-135.0538,-18.0,69,20,18.41,CA,1613017410
Ulaanbaatar,47.9077,106.8832,14.0,73,75,13.42,MN,1613017410
Zhigansk,66.7697,123.3711,-11.16,87,100,8.63,RU,1613017410
Enniscorthy,52.5008,-6.5578,35.01,75,98,8.99,IE,1613017410
Katherine,-14.4667,132.2667,89.6,66,40,4.61,AU,1613017410
Kutum,14.2,24.6667,57.69,51,0,10.67,SD,1613017410
Luanda,-8.8368,13.2343,78.8,83,40,3.44,AO,1613017410
Ichhawar,23.0167,77.0167,72.77,23,81,6.06,IN,1613017410
Santiago del estero,-27.7951,-64.2615,66.99,91,16,5.01,AR,1613017410
Redcar,54.6166,-1.06,35.01,71,79,6.76,GB,1613017410
Tamworth,52.634,-1.6959,25.0,93,20,1.99,GB,1613017411
Kariba,-16.5167,28.8,70.9,92,100,1.1,ZW,1613017411
Macheng,31.1783,115.0319,63.12,39,17,3.58,CN,1613017411
Santa maria,-29.6842,-53.8069,68.0,88,40,6.91,BR,1613017402
Gari,59.4307,62.3497,-21.55,86,15,2.35,RU,1613017411
Batagay-alyta,67.8006,130.4114,-1.46,89,62,0.47,RU,1613017411
Port blair,11.6667,92.75,81.41,54,99,10.07,IN,1613017411
Beloha,-25.1667,45.05,71.49,86,100,6.31,MG,1613017411
Krasnoselkup,65.7,82.4667,-23.67,86,97,4.7,RU,1613017412
Misratah,32.3754,15.0925,64.27,38,0,17.34,LY,1613017412
Trebinje,42.7119,18.3442,51.8,93,40,3.44,BA,1613017201
Rio brilhante,-21.8019,-54.5464,68.68,89,99,4.65,BR,1613017412
Mosquera,4.7059,-74.2302,55.4,88,40,9.22,CO,1613017412
Ixtapa,20.7,-105.2,69.8,78,90,0.65,MX,1613017266
Wagar,16.1525,36.2032,65.26,90,5,7.16,SD,1613017412
Yatou,37.15,122.3833,49.35,53,29,12.68,CN,1613017412
Talaya,61.3833,152.75,0.93,90,95,2.82,RU,1613017413
Maroantsetra,-15.4333,49.7333,75.42,86,100,1.41,MG,1613017413
Nyandoma,61.669,40.1991,-9.42,90,100,3.78,RU,1613017413
Grosseto,42.8333,11.25,41.0,93,0,3.44,IT,1613017413
Ouallam,14.3188,2.0866,71.87,18,0,9.86,NE,1613017413
Phalaborwa,-23.943,31.1411,69.71,89,10,6.6,ZA,1613017414
Pangnirtung,66.1451,-65.7125,4.53,71,28,2.66,CA,1613017414
Port-gentil,-0.7193,8.7815,81.9,79,100,6.31,GA,1613017414
Vanersborg,58.3807,12.3234,19.4,79,75,13.8,SE,1613017414
Teacapan,22.55,-105.75,63.34,80,0,3.11,MX,1613017414
Leshukonskoye,64.8989,45.7622,-8.68,90,88,4.94,RU,1613017414
Caririacu,-7.0422,-39.2836,80.6,74,75,4.61,BR,1613017414
Bria,6.5423,21.9863,62.46,30,81,3.56,CF,1613017414
Keskin,39.6731,33.6136,37.44,81,0,4.56,TR,1613017414
Quatre cocos,-20.2078,57.7625,82.0,68,92,8.99,MU,1613017415
San cristobal,7.7669,-72.225,64.71,88,16,2.24,VE,1613017415
Tazovskiy,67.4667,78.7,-29.34,85,100,5.5,RU,1613017415
Torrelavega,43.3494,-4.0479,50.0,88,75,5.12,ES,1613017415
Tarata,-17.6167,-66.0167,57.2,100,75,3.44,BO,1613017415
Vilhena,-12.7406,-60.1458,69.39,99,100,2.51,BR,1613017415
Haifa,32.8156,34.9892,56.41,77,0,1.66,IL,1613017211
Muana,-1.5283,-49.2167,75.0,94,100,3.96,BR,1613017415
Alizai,33.5383,70.3462,61.25,27,0,2.28,PK,1613017415
Lamar,33.6668,-95.5836,28.99,93,90,13.8,US,1613017416
Flin flon,54.7682,-101.865,-30.23,84,90,5.1,CA,1613017416
Popondetta,-8.7537,148.2534,90.27,56,100,6.91,PG,1613017416
Viedma,-40.8135,-62.9967,64.99,83,20,1.01,AR,1613017416
Kampot,10.6167,104.1833,78.8,78,75,12.66,KH,1613017416
Muros,42.7762,-9.0603,59.0,94,100,8.99,ES,1613017416
Tadine,-21.55,167.8833,81.16,68,35,6.35,NC,1613017416
Mecca,21.4267,39.8261,71.71,53,0,2.93,SA,1613017416
Saposoa,-6.934,-76.7716,73.29,91,100,2.13,PE,1613017417
Bhalki,18.0333,77.2167,77.9,22,50,6.58,IN,1613017417
Miles city,46.4083,-105.8406,-7.6,59,90,10.36,US,1613017417
Meulaboh,4.1363,96.1285,86.09,67,94,1.72,ID,1613017417
Padang,-0.9492,100.3543,86.0,66,20,2.3,ID,1613017417
Oneonta,42.4529,-75.0638,19.0,72,100,0.78,US,1613017207
Huarmey,-10.0681,-78.1522,72.63,73,97,5.08,PE,1613017417
Vytegra,61.0064,36.4481,-5.04,90,100,3.65,RU,1613017149
Sotouboua,8.5667,0.9833,69.8,43,0,2.75,TG,1613017417
Makinsk,52.6292,70.4169,-13.97,87,80,3.89,KZ,1613017417
Turinskaya sloboda,57.6232,64.3858,-19.89,87,6,3.83,RU,1613017417
Khandyga,62.6667,135.6,6.4,91,100,1.52,RU,1613017417
Puerto lempira,15.2667,-83.7667,73.76,90,3,5.32,HN,1613017418
Timizart,36.8,4.2667,50.7,89,57,5.82,DZ,1613017418
Kincardine,56.0667,-3.7167,19.0,92,40,1.14,GB,1613017418
Cockburn town,21.4612,-71.1419,76.78,77,0,18.48,TC,1613017418
Fairbanks,64.8378,-147.7164,3.0,84,1,0.96,US,1613017411
Weligama,5.9667,80.4167,79.12,70,76,5.23,LK,1613017418
Sola,-13.8833,167.55,89.6,74,75,5.75,VU,1613017418
Antalaha,-14.9003,50.2788,75.4,89,100,5.21,MG,1613017418
Zaragoza,41.6561,-0.8773,42.01,87,20,3.44,ES,1613017199
Yumen,40.2833,97.2,35.85,67,65,12.24,CN,1613017419
Barvinkove,48.9097,37.0205,31.28,98,100,5.84,UA,1613017419
Lodwar,3.1191,35.5973,79.29,43,89,6.51,KE,1613017419
Miramar,25.9873,-80.2323,75.2,78,1,5.75,US,1613017342
Oistins,13.0667,-59.5333,76.62,78,1,19.15,BB,1613017162
Biak,-0.9131,122.8766,83.77,70,100,1.95,ID,1613017419
Saint anthony,45.0205,-93.218,-2.2,59,1,10.36,US,1613017419
Sabha,27.0377,14.4283,57.6,33,0,9.71,LY,1613017419
Byron bay,-28.65,153.6167,78.01,61,40,11.5,AU,1613017203
Moranbah,-22.0016,148.0466,85.82,51,87,11.99,AU,1613017420
Camacha,33.0833,-16.3333,60.8,100,40,4.61,PT,1613017420
Roxana,10.2753,-83.7513,64.99,60,61,3.0,CR,1613017420
Las vegas,36.175,-115.1372,60.8,31,1,5.75,US,1613017326
Pochutla,15.7432,-96.4661,75.99,81,0,4.0,MX,1613017420
Aripuana,-9.1667,-60.6333,72.34,99,100,1.39,BR,1613017420
Ruidoso,33.3317,-105.673,44.6,23,75,11.5,US,1613017420
Henties bay,-22.116,14.2845,68.0,91,91,7.14,NA,1613017421
Kununurra,-15.7667,128.7333,91.4,62,75,11.5,AU,1613017421
Coihaique,-45.5752,-72.0662,68.0,52,0,3.44,CL,1613017421
Port keats,-14.25,129.55,87.84,67,75,9.53,AU,1613017421
Barabai,-2.5833,115.3833,93.29,52,72,2.77,ID,1613017421
Yerbogachen,61.2767,108.0108,-7.01,88,17,4.14,RU,1613017422
Winslow,35.0242,-110.6974,35.6,41,1,4.61,US,1613017422
Umarkot,25.3616,69.7362,75.33,17,54,7.05,PK,1613017422
Buluang,13.3068,123.3425,82.8,77,8,6.71,PH,1613017422
Sumbe,-11.2061,13.8437,74.53,81,100,5.01,AO,1613017422
Buala,-8.145,159.5921,81.16,83,100,11.54,SB,1613017422
Homer,59.6425,-151.5483,35.01,75,90,4.61,US,1613017423
Bardiyah,31.7561,25.0865,60.26,40,0,11.5,LY,1613017423
Ariguani,10.25,-74.0,79.0,78,41,1.99,CO,1613017423
Opuwo,-18.0607,13.84,65.93,78,98,3.67,NA,1613017423
Pangai,-19.8,-174.35,78.8,94,75,3.87,TO,1613017423
Kalanguy,51.0167,116.5167,18.01,94,100,1.83,RU,1613017423
Sambava,-14.2667,50.1667,76.21,88,100,5.19,MG,1613017423
Vostok,46.4856,135.8833,19.53,91,3,3.51,RU,1613017423
San patricio,28.017,-97.5169,57.2,94,90,16.11,US,1613017296
Killybegs,54.6333,-8.45,30.0,78,90,11.99,IE,1613017424
Nelson bay,-32.7167,152.15,84.99,41,20,8.05,AU,1613017371
Kodinsk,58.6881,99.1844,-1.16,88,100,3.65,RU,1613017424
Marawi,7.9986,124.2928,82.99,85,94,8.01,PH,1613017424
Ihosy,-22.4,46.1167,64.96,90,100,5.64,MG,1613017424
Mandurah,-32.55,115.7,75.0,40,0,4.61,AU,1613017424
Alice springs,-23.7,133.8833,96.8,34,40,14.97,AU,1613017424
Guasave,25.5667,-108.45,55.99,91,0,1.01,MX,1613017424
Manta,-0.95,-80.7333,77.0,88,0,3.44,EC,1613017425
Xacmaz,41.4635,48.806,45.86,84,68,9.69,AZ,1613017425
Les cayes,18.2,-73.75,74.57,80,3,4.61,HT,1613017425
Ahuimanu,21.4447,-157.8378,75.2,56,75,6.91,US,1613017425
Karasburg,-28.0167,18.75,74.03,52,89,4.59,NA,1613017425
Santa clara,22.4,-79.9667,73.4,94,40,8.05,CU,1613017299
Obihiro,42.9172,143.2044,30.2,51,20,13.8,JP,1613017425
Lavrentiya,65.5833,-171.0,-27.42,79,0,9.62,RU,1613017426
La possession,-20.9289,55.3351,78.8,83,75,12.66,RE,1613017426
Chapais,49.7834,-74.8492,-11.2,77,90,1.36,CA,1613017426
Mayskiy,47.6931,40.1025,41.0,100,90,13.42,RU,1613017426
Onega,63.9061,38.1404,-6.21,89,100,4.29,RU,1613017426
Xining,36.6167,101.7667,40.17,55,5,4.07,CN,1613017426
Gorele,41.0308,39.0031,51.8,71,0,7.49,TR,1613017426
Narsaq,60.9167,-46.05,33.8,27,75,32.21,GL,1613017426
Yanliang,34.6592,109.2292,50.0,50,66,6.71,CN,1613017426
Tame,6.461,-71.73,78.44,55,85,4.88,CO,1613017426
Mwene-ditu,-7.0,23.45,65.25,96,99,1.97,CD,1613017426
Udachnyy,66.4167,112.4,-18.69,84,41,3.71,RU,1613017427
Kaoma,-14.7833,24.8,64.58,97,100,3.98,ZM,1613017427
